LatD,LatM,LatS,NS,LonD,LonM,LonS,EW,City,State,average,date
41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH,37.33333333,1748-06-01
42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD,47.5,1748-07-01
46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA,54.33333333,1748-08-01
42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA,31.5,1748-09-01
43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI,45.66666667,1748-10-01
36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC,32.5,1748-11-01
49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB,41.47222222,1748-12-01
39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA,41.47222222,1749-01-01
34,14,24," ""N""",77,55,11," ""W"""," ""Wilmington""", NC,42.06349206,1749-02-01
39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE,41.28684807,1749-03-01
48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND,39.42306446,1749-04-01
41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA,40.55493082,1749-05-01
37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV,39.82468284,1749-06-01
33,54,0," ""N""",98,29,23," ""W"""," ""Wichita Falls""", TX,40.8710661,1749-07-01
37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS,40.78518665,1749-08-01
40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV,40.68703872,1749-09-01
26,43,11," ""N""",80,3,0," ""W"""," ""West Palm Beach""", FL,40.49040252,1749-10-01
47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA,40.37662459,1749-11-01
41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA,40.51284746,1749-12-01
31,13,11," ""N""",82,20,59," ""W"""," ""Waycross""", GA,40.50683555,1750-01-01
44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI,40.60428594,1750-02-01
42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL,40.56617449,1750-03-01
44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD,40.53488704,1750-04-01
43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY,40.51315109,1750-05-01
42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA,40.51640088,1750-06-01
41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT,40.87582788,1750-07-01
38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC,41.01752766,1750-08-01
41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA,40.75822877,1750-09-01
46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA,40.21522459,1750-10-01
31,32,59," ""N""",97,8,23," ""W"""," ""Waco""", TX,40.56383357,1750-11-01
38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN,40.35972025,1750-12-01
28,48,35," ""N""",97,0,36," ""W"""," ""Victoria""", TX,40.67410906,1751-01-01
32,20,59," ""N""",90,52,47," ""W"""," ""Vicksburg""", MS,40.64218453,1751-02-01
49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC,40.60898302,1751-03-01
46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND,40.55080266,1751-04-01
30,49,47," ""N""",83,16,47," ""W"""," ""Valdosta""", GA,40.52136085,1751-05-01
